,language,project,path,method,cyclomatic_complexity,date,nloc,proportion_nloc,start-line,end-line,commits,total_lines_add,total_lines_del,diff_lines,diff_lines_nloc,authors,lifetime,frequency,proportion_add_method,stars_project,source_files_project,commits_project,lifetime_project,first_CC,middle_1,middle_2,last_CC,category,mann_kendall
15,C#,PowerShell,src/System.Management.Automation/engine/remoting/commands/NewPSSessionConfigurationFile.cs,NewPSSessionConfigurationFileCommand::ProcessRecord(),67,2020-08-11 14:01:47-07:00,377,0.2481895984200132,641.0,1116.0,11,582,107,475,1.3481785089451999,9,1593,0.006905210295040804,0.2053838484546361,22095,1282,8300,2006,67,67,67,67,processing,no trend
16,C#,PowerShell,src/Microsoft.WSMan.Management/ConfigProvider.cs,"WSManConfigProvider::SetItem(stringpath,objectvalue)",65,2020-08-11 14:01:47-07:00,398,0.08172484599589322,874.0,1348.0,15,529,55,474,1.309045226130653,7,1477,0.010155721056194987,0.25822532402791626,22095,1282,8300,2006,65,65,65,65,accessing,no trend
17,C#,PowerShell,src/Microsoft.WSMan.Management/ConfigProvider.cs,"WSManConfigProvider::GetChildItemsOrNames(stringpath,ProviderMethodsmethodname,boolrecurse)",62,2020-08-11 14:01:47-07:00,315,0.0646817248459959,4152.0,4512.0,13,406,46,360,1.3142857142857145,6,1477,0.008801624915368992,0.25822532402791626,22095,1282,8300,2006,62,62,62,62,accessing,no trend
18,C#,PowerShell,src/System.Management.Automation/engine/ParameterBinderBase.cs,"ParameterBinderBase::EncodeCollection(CommandParameterInternalargument,stringparameterName,ParameterCollectionTypeInformationcollectionTypeInformation,TypetoType,objectcurrentValue,boolcoerceElementTypeIfNeeded,outboolcoercionRequired)",60,2020-08-11 14:01:47-07:00,364,0.26187050359712233,1456.0,1900.0,14,504,60,444,1.2722056948576286,10,1583,0.008843967150979154,0.2053838484546361,22095,1282,8300,2006,61,60,60,60,processing,decreasing
19,C#,ILSpy,ICSharpCode.Decompiler/IL/Instructions/Conv.cs,"Conv::GetConversionKind(PrimitiveTypetargetType,StackTypeinputType,SigninputSign)",59,2020-08-10 21:34:35+02:00,115,0.5227272727272727,181.0,297.0,5,121,5,116,2.1200770664417483,2,786,0.006361323155216286,0.7738704177323104,11047,1103,6159,4692,43,48,58,59,accessing,increasing
20,C#,PowerShell,src/System.Management.Automation/engine/ComInterop/TypeUtils.cs,"TypeUtils::IsImplicitNumericConversion(Typesource,Typedestination)",58,2020-08-11 14:01:47-07:00,107,0.4533898305084746,141.0,248.0,4,125,18,107,1.1124385778976782,4,1591,0.00251414204902577,0.2053838484546361,22095,1282,8300,2006,58,58,58,58,condition,no trend
21,C#,PowerShell,src/System.Management.Automation/engine/ParameterBinderBase.cs,"ParameterBinderBase::CoerceTypeAsNeeded(CommandParameterInternalargument,stringparameterName,TypetoType,ParameterCollectionTypeInformationcollectionTypeInfo,objectcurrentValue)",56,2020-08-11 14:01:47-07:00,269,0.19352517985611511,983.0,1332.0,18,409,60,349,1.3508686549071192,8,1583,0.011370814908401769,0.2053838484546361,22095,1282,8300,2006,57,57,56,56,processing,decreasing
22,C#,PowerShell,src/Microsoft.PowerShell.Commands.Management/commands/management/Computer.cs,RestartComputerCommand::ProcessRecord(),54,2020-08-11 14:01:47-07:00,192,0.1294672960215779,830.0,1086.0,8,587,4333,-3746,-65.33075799507995,5,1011,0.00791295746785361,0.2053838484546361,22095,1282,8300,2006,76,76,54,54,processing,decreasing
23,C#,wpf,src/Microsoft.DotNet.Wpf/src/System.Xaml/System/Xaml/Schema/BuiltInValueConverter.cs,BuiltInValueConverter::GetTypeConverter(TypetargetType),54,2020-08-11 14:11:32+00:00,205,0.6466876971608833,112.0,323.0,5,304,93,211,1.0292682926829269,2,148,0.03378378378378378,0.00778816199376947,4664,4286,2473,642,54,54,54,54,accessing,no trend
24,C#,PowerShell,src/System.Management.Automation/engine/hostifaces/Connection.cs,"Runspace::UpdateRunspaceAvailability(PipelineStatepipelineState,boolraiseEvent,Guid?cmdInstanceId=null)",54,2020-08-11 14:01:47-07:00,140,0.16990291262135926,876.0,1055.0,6,190,11,179,1.407142857142857,5,1583,0.0037902716361339225,0.2053838484546361,22095,1282,8300,2006,54,54,54,54,coordination,no trend
25,C#,ILSpy,ICSharpCode.Decompiler/CSharp/Transforms/IntroduceQueryExpressions.cs,IntroduceQueryExpressions::DecompileQuery(InvocationExpressioninvocation),52,2020-08-10 21:34:35+02:00,168,0.5773195876288659,85.0,256.0,8,426,93,333,4.47668195426906,2,3278,0.002440512507626601,0.273231031543052,11047,1103,6159,4692,44,46,49,52,processing,increasing
26,C#,efcore,test/EFCore.Tests/Extensions/QueryableExtensionsTest.cs,QueryableExtensionsTest::Extension_methods_validate_arguments(),51,2020-08-11 14:40:49-07:00,149,0.3363431151241535,331.0,483.0,13,1432,229,1203,370.9130525341356,5,1756,0.007403189066059227,0.026755852842809364,9456,3572,10538,2392,1,66,66,51,validation,decreasing
27,C#,ILSpy,ICSharpCode.Decompiler/CSharp/OutputVisitor/InsertParenthesesVisitor.cs,InsertParenthesesVisitor::GetPrecedence(Expressionexpr),49,2020-08-10 21:34:35+02:00,84,0.2545454545454545,66.0,153.0,8,126,39,87,2.014231720324661,2,1053,0.007597340930674264,0.7738704177323104,11047,1103,6159,4692,36,44,47,49,accessing,increasing
28,C#,PowerShell,src/Microsoft.PowerShell.Commands.Utility/commands/utility/WebCmdlet/Common/WebRequestPSCmdlet.Common.cs,WebRequestPSCmdlet::ValidateParameters(),46,2020-08-11 14:01:47-07:00,146,0.11541501976284585,396.0,567.0,10,194,23,171,3.363170865513234,7,1467,0.006816632583503749,0.2632103688933201,22095,1282,8300,2006,23,40,46,46,validation,increasing
29,C#,IdentityServer4,src/IdentityServer4/src/ResponseHandling/Default/DiscoveryResponseGenerator.cs,"DiscoveryResponseGenerator::CreateDiscoveryDocumentAsync(stringbaseUrl,stringissuerUri)",45,2020-08-09 09:09:27-04:00,212,0.5888888888888889,95.0,362.0,22,966,68,898,44.5723591529085,5,1178,0.01867572156196944,0.2735191637630662,7065,1141,3203,1722,30,31,44,45,creation,increasing
30,C#,PowerShell,src/Microsoft.WSMan.Management/ConfigProvider.cs,WSManConfigProvider::GetItem(stringpath),44,2020-08-11 14:01:47-07:00,257,0.05277207392197125,576.0,863.0,13,311,24,287,1.2762645914396886,6,1477,0.008801624915368992,0.25822532402791626,22095,1282,8300,2006,44,44,44,44,accessing,no trend
31,C#,PowerShell,src/System.Management.Automation/engine/ParameterBinderBase.cs,"ParameterBinderBase::BindParameter(CommandParameterInternalparameter,CompiledCommandParameterparameterMetadata,ParameterBindingFlagsflags)",44,2020-08-11 14:01:47-07:00,252,0.18129496402877696,329.0,669.0,13,392,52,340,1.4882605501216883,9,1583,0.0082122552116235,0.2053838484546361,22095,1282,8300,2006,42,44,44,44,setup,increasing
32,C#,efcore,src/EFCore/Query/ExpressionEqualityComparer.cs,ExpressionEqualityComparer::GetHashCode(Expressionobj),44,2020-08-11 14:40:49-07:00,199,0.3638025594149909,38.0,277.0,25,1179,257,922,43.266439351281385,13,1573,0.015893197711379533,0.2838628762541806,9456,3572,10538,2392,56,62,63,44,accessing,increasing
33,C#,efcore,src/EFCore/Infrastructure/ModelValidator.cs,"ModelValidator::ValidatePropertyMapping([NotNull]IModelmodel,[NotNull]IDiagnosticsLogger<DbLoggerCategory.Model.Validation>logger)",44,2020-08-11 14:40:49-07:00,119,0.13370786516853933,140.0,280.0,15,162,22,140,3.9413197775205497,5,452,0.033185840707964605,0.8089464882943144,9456,3572,10538,2392,34,34,38,44,validation,increasing
34,C#,ILSpy,ICSharpCode.Decompiler/DecompilerSettings.cs,DecompilerSettings::GetMinimumRequiredVersion(),43,2020-08-10 21:34:35+02:00,25,0.02340823970037453,124.0,149.0,16,38,13,25,2.8149896480331265,2,740,0.021621621621621626,0.8405797101449275,11047,1103,6159,4692,27,31,39,43,accessing,increasing
35,C#,PowerShell,src/System.Management.Automation/engine/hostifaces/History.cs,"History::GetEntries(longid,longcount,SwitchParameternewest)",43,2020-08-11 14:01:47-07:00,131,0.10015290519877676,281.0,453.0,14,223,51,172,1.4198473282442747,7,1583,0.008843967150979154,0.2053838484546361,22095,1282,8300,2006,43,43,43,43,accessing,no trend
36,C#,PowerShell,src/Microsoft.PowerShell.Commands.Utility/commands/utility/GetDateCommand.cs,GetDateCommand::UFormatDateString(DateTimedateTime),42,2020-08-11 14:01:47-07:00,141,0.360613810741688,361.0,544.0,14,299,116,183,0.10252505452180816,7,1385,0.010108303249097473,0.2053838484546361,22095,1282,8300,2006,41,41,48,42,conversion,increasing
37,C#,PowerShell,src/System.Management.Automation/engine/SessionStateContainer.cs,"SessionStateInternal::GetChildItems(stringpath,boolrecurse,uintdepth,CmdletProviderContextcontext)",42,2020-08-11 14:01:47-07:00,177,0.06727480045610035,1302.0,1532.0,15,252,22,230,2.3383745773724955,10,1583,0.009475679090334808,0.2053838484546361,22095,1282,8300,2006,33,37,42,42,accessing,increasing
38,C#,efcore,src/EFCore.Relational/Query/Internal/RelationalProjectionBindingExpressionVisitor.cs,RelationalProjectionBindingExpressionVisitor::Visit(Expressionexpression),41,2020-08-11 14:40:49-07:00,122,0.2850467289719626,103.0,247.0,24,479,157,322,58.52029299048361,5,444,0.054054054054054064,0.8047658862876255,9456,3572,10538,2392,19,16,31,41,collections,increasing
39,C#,efcore,test/EFCore.Tests/Extensions/QueryableExtensionsTest.cs,QueryableExtensionsTest::Extension_methods_call_provider_ExecuteAsync(),41,2020-08-11 14:40:49-07:00,73,0.16478555304740405,54.0,127.0,12,922,174,748,115.38962569320502,6,1286,0.00933125972006221,0.026755852842809364,9456,3572,10538,2392,1,81,41,41,test,no trend
